title,domestic_gross,foreign_gross
No One Killed Jessica,441000.0,193000.0
Korkoro,8200.0,619000.0
Blackthorn,201000.0,423000.0
How I Ended This Summer,8700.0,614000.0
The Ledge,9200.0,602000.0
Heartbeats,68700.0,520000.0
Kaboom,119000.0,421000.0
Protektor,3000.0,469000.0
The Other Woman,25400.0,427000.0
Rage (Rabia),5600.0,403000.0
The Human Resources Manager,64000.0,329000.0
7 Khoon Maaf,270000.0,94700.0
Another Happy Day,8500.0,347000.0
The Mill and the Cross,312000.0,30300.0
Special Treatment,8900.0,286000.0
Illegal (2011),700.0,289000.0
Black Death,22600.0,243000.0
Le Quattro Volte,153000.0,103000.0
Caterpillar,4200.0,248000.0
Little Girl (La Pivellina),1400.0,236000.0
"If I Want to Whistle, I Whistle",12100.0,220000.0
The Robber,83500.0,125000.0
Henry's Crime,103000.0,102000.0
Film Socialisme,33000.0,159000.0
Leap Year (2011),13000.0,175000.0
A Screaming Man,9900.0,175000.0
Nostalgia for the Light,164000.0,13700.0
Anchor Baby,15800.0,161000.0
Road to Nowhere,40300.0,121000.0
Octubre,32100.0,96700.0
The Arbor,21600.0,105000.0
Mysteries of Lisbon,111000.0,14900.0
Vidal Sassoon: The Movie,86000.0,38600.0
"Tuesday, After Christmas",27800.0,36200.0
Brotherhood (2011),19700.0,12700.0
I'm Glad My Mother is Alive,8700.0,13200.0
Aurora,5700.0,5100.0
To Die Like a Man,4000.0,900.0
Marvel's The Avengers,623400000.0,895500000.0
Skyfall,304400000.0,804200000.0
The Dark Knight Rises,448100000.0,636800000.0
The Hobbit: An Unexpected Journey,303000000.0,718100000.0
Ice Age: Continental Drift,161300000.0,715900000.0
The Twilight Saga: Breaking Dawn Part 2,292300000.0,537400000.0
The Amazing Spider-Man,262000000.0,495900000.0
Madagascar 3: Europe's Most Wanted,216400000.0,530500000.0
The Hunger Games,408000000.0,286400000.0
MIB 3,179000000.0,445000000.0
Life of Pi,125000000.0,484000000.0
Ted,218800000.0,330600000.0
Brave,237300000.0,303200000.0
Wreck-It Ralph,189400000.0,281800000.0
Les Miserables (2012),148800000.0,293000000.0
The Intouchables (U.S.-only),10200000.0,416400000.0
Django Unchained,162800000.0,262600000.0
Prometheus,126500000.0,276900000.0
Snow White and the Huntsman,155300000.0,241300000.0
Taken 2,139900000.0,236300000.0
Hotel Transylvania,148300000.0,210100000.0
Dr. Seuss' The Lorax,214000000.0,134800000.0
Titanic 3D,57900000.0,285700000.0
Journey 2: The Mysterious Island,103900000.0,231400000.0
The Expendables 2,85000000.0,229900000.0
Rise of the Guardians,103400000.0,203500000.0
Wrath of the Titans,83700000.0,221600000.0
Battleship,65400000.0,237600000.0
John Carter,73100000.0,211100000.0
The Bourne Legacy,113200000.0,162900000.0
Lincoln,182200000.0,93100000.0
Dark Shadows,79700000.0,165800000.0
Resident Evil: Retribution,42300000.0,197700000.0
Silver Linings Playbook,132100000.0,104300000.0
American Reunion,57000000.0,178000000.0
Argo,136000000.0,96300000.0
Jack Reacher,80100000.0,138300000.0
Safe House,126400000.0,81700000.0
21 Jump Street,138400000.0,63100000.0
Total Recall (2012),58900000.0,139600000.0
The Vow,125000000.0,71100000.0
Mirror Mirror,64900000.0,118100000.0
The Impossible,19000000.0,161300000.0
The Dictator,59700000.0,119700000.0
