movie_id,genres,movie_id,averagerating,numvotes,ordering
tt1876416,"Animation,Documentary,War",tt1876416,8.5,13,1
tt0775489,"Animation,Drama",tt0775489,7.5,31734,1
tt1577113,"Animation,Drama,Family",tt1577113,7.3,20,1
tt1657293,"Animation,Drama,Fantasy",tt1657293,4.8,21,1
tt0176694,"Animation,Drama,History",tt0176694,7.8,584,1
tt2279314,"Animation,Drama,Horror",tt2279314,5.7,55,1
tt4164556,"Animation,Drama,Music",tt4164556,4.4,19,1
tt2317103,"Animation,Drama,Musical",tt2317103,6.6,64,1
tt1559036,"Animation,Drama,Mystery",tt1559036,6.0,3305,1
tt1632544,"Animation,Drama,Romance",tt1632544,7.1,1927,1
tt1821641,"Animation,Drama,Sci-Fi",tt1821641,6.5,15996,1
tt4872210,"Animation,Drama,Sport",tt4872210,7.3,260,1
tt1808454,"Animation,Drama,Thriller",tt1808454,6.7,8262,1
tt1878842,"Animation,Drama,War",tt1878842,6.3,21,1
tt0498351,"Animation,Family",tt0498351,4.0,431,1
tt0765465,"Animation,Family,Fantasy",tt0765465,4.9,331,1
tt2506858,"Animation,Family,History",tt2506858,3.5,15,1
tt1980102,"Animation,Family,Music",tt1980102,6.7,19,1
tt1701992,"Animation,Family,Musical",tt1701992,6.7,193,1
tt7169514,"Animation,Family,Mystery",tt7169514,6.9,255,1
tt5502946,"Animation,Family,Sci-Fi",tt5502946,6.0,445,1
tt2652476,"Animation,Family,Sport",tt2652476,5.7,142,1
tt1828229,"Animation,Fantasy",tt1828229,6.9,1241,1
tt5157420,"Animation,Fantasy,History",tt5157420,5.2,22,1
tt1691454,"Animation,Fantasy,Horror",tt1691454,4.4,34,1
tt2851954,"Animation,Fantasy,Music",tt2851954,6.7,10,1
tt2118024,"Animation,Fantasy,Mystery",tt2118024,6.7,77,1
tt7230298,"Animation,Fantasy,Romance",tt7230298,8.2,10,1
tt3392330,"Animation,Fantasy,Sci-Fi",tt3392330,7.0,1136,1
tt1956456,"Animation,History",tt1956456,6.8,13,1
tt2328505,"Animation,History,Horror",tt2328505,6.7,991,1
tt3638542,"Animation,History,Music",tt3638542,6.8,21,1
tt1731145,"Animation,History,Musical",tt1731145,5.7,43,1
tt1331294,"Animation,Horror",tt1331294,7.0,514,1
tt2164058,"Animation,Horror,Music",tt2164058,7.0,71,1
tt3454574,"Animation,Horror,Mystery",tt3454574,6.5,2665,1
tt3691942,"Animation,Horror,Romance",tt3691942,2.8,6,1
tt1740684,"Animation,Horror,Sci-Fi",tt1740684,6.1,76,1
tt1746196,"Animation,Horror,Thriller",tt1746196,4.3,95,1
tt1660362,"Animation,Music",tt1660362,7.1,87,1
tt1872871,"Animation,Music,Romance",tt1872871,7.2,10,1
tt1690991,"Animation,Musical",tt1690991,6.5,97,1
tt1710994,"Animation,Mystery,Sci-Fi",tt1710994,5.3,170,1
tt4065758,"Animation,Mystery,Thriller",tt4065758,5.4,17,1
tt3880898,"Animation,Romance",tt3880898,7.9,195,1
tt1715210,"Animation,Romance,Sci-Fi",tt1715210,7.4,3028,1
tt1384961,"Animation,Sci-Fi",tt1384961,5.5,365,1
tt2048804,"Animation,Sci-Fi,Thriller",tt2048804,6.3,715,1
tt6035470,"Animation,Sci-Fi,War",tt6035470,7.1,297,1
tt1794796,"Animation,Sport",tt1794796,6.9,120,1
tt1748199,"Animation,Thriller",tt1748199,6.4,62,1
tt2130320,"Animation,War",tt2130320,7.6,5,1
tt4997844,"Animation,Western",tt4997844,6.3,6,1
tt0337926,Biography,tt0337926,6.0,558,1
tt1525915,"Biography,Comedy",tt1525915,6.3,882,1
tt0780548,"Biography,Comedy,Crime",tt0780548,6.4,8924,1
tt1449183,"Biography,Comedy,Documentary",tt1449183,7.0,66,1
tt0255820,"Biography,Comedy,Drama",tt0255820,5.9,123,1
tt1744826,"Biography,Comedy,Family",tt1744826,5.9,27,1
tt2738836,"Biography,Comedy,Fantasy",tt2738836,4.2,15,1
tt1379651,"Biography,Comedy,History",tt1379651,5.2,5,1
